City,12:00AM,1:00AM,2:00AM,3:00AM,4:00AM,5:00AM,6:00AM,7:00AM,8:00AM,9:00AM,10:00AM,12:00PM,1:00PM,2:00PM,3:00PM,4:00PM,5:00PM,6:00PM,7:00PM,8:00PM,9:00PM,10:00PM,11:00PM
Kuala Lumpur,47,48,45,49,50,52,53,53,53,53,54,54,53,53,53,53,54,54,53,53,53,53,53
George Town,38,39,39,39,40,41,40,40,41,42,43,45,45,45,44,45,46,44,43,42,40,39,39
Johor Bahru,38,40,42,44,47,50,52,53,54,54,54,54,54,55,55,55,55,55,56,56,56,56,57
Ipoh,51,51,51,52,52,51,51,50,50,47,45,44,45,45,42,43,44,41,40,39,38,36,35
Shah Alam,56,58,59,61,63,65,67,68,70,70,69,69,69,69,68,68,68,68,68,67,66,66,65
Kota Kinabalu,33,35,35,35,34,34,34,35,34,33,33,34,33,31,30,28,29,29,29,28,27,26,26
Kuching,18,18,19,19,19,20,20,21,22,21,20,21,21,22,22,23,23,25,25,26,26,26,27
Malacca,42,43,44,45,43,41,41,40,39,39,41,40,40,40,40,41,42,41,41,41,41,41,43
Alor Setar,30,30,30,30,30,29,30,31,33,34,34,33,33,32,32,30,29,28,28,28,29,28,28
Miri,32,32,32,32,33,33,34,35,35,37,37,35,34,33,33,33,34,34,33,32,31,31,31
Kuantan,28,28,27,27,27,28,30,30,31,29,29,28,27,25,26,26,27,29,29,29,30,31,31
Kuala Terengganu,32,32,34,34,34,36,36,38,38,37,38,39,38,38,38,39,38,37,39,38,38,38,38
Kangar,29,30,30,31,32,31,30,32,31,31,31,32,33,33,34,34,33,33,33,32,30,30,29
Putrajaya,53,53,54,55,55,56,57,58,58,59,60,60,60,60,60,59,58,57,57,57,56,56,55
