City,AQI,PM2.5,Ozone,Latitude,Longitude
Kuala Lumpur,55.00,75.00,25.00,3.14,101.69
George Town,42.00,42.00,15.00,5.41,100.33
Johor Bahru,58.00,109.00,18.00,1.49,103.74
Ipoh,94.00,30.00,20.00,4.60,101.09
Shah Alam,55.00,73.00,30.00,3.07,101.52
Kota Kinabalu,22.00,27.00,5.00,5.98,116.07
Kuching,67.00,67.00,5.00,1.55,110.36
Malacca,46.00,60.00,17.00,2.19,102.25
Alor Setar,20.00,45.00,13.00,6.12,100.37
Miri,28.00,35.00,4.00,4.40,113.99
Kuantan,55.00,45.00,15.00,3.81,103.33
Kuala Terengganu,29.00,29.00,7.00,5.33,103.14
Kangar,49.00,50.00,12.00,6.44,100.20
Putrajaya,52.00,70.00,20.00,2.93,101.70
